mine_id,mine_name,mine_type,year,month,rainfall_mm,avg_temperature_c,soil_moisture_pct,equipment_availability_pct,downtime_hours,labor_availability_pct,planned_target_tonnes,actual_production_tonnes,shortfall_tonnes,shortfall_pct,shortfall_event,prev_month_efficiency
MN-BAL-01,Balaghat Mine,underground,2021,1,9.1,22.3,11.3,89.0,11.3,89.8,9005.1,8197.8,807.3000000000011,8.964919878735396,0,0.8458031632082796
MN-BAL-01,Balaghat Mine,underground,2021,2,10.1,24.9,11.6,89.8,9.5,100.0,9252.5,8712.1,540.3999999999996,5.84058362604701,0,0.910350801212646
MN-BAL-01,Balaghat Mine,underground,2021,3,19.5,33.4,10.9,84.1,25.2,95.5,8957.5,8270.7,686.7999999999993,7.667317890036275,0,0.9415941637395299
MN-BAL-01,Balaghat Mine,underground,2021,4,19.8,34.3,14.1,92.1,16.2,97.4,9434.4,9945.0,-510.60000000000036,-5.412108878148058,0,0.9233268210996373
MN-BAL-01,Balaghat Mine,underground,2021,5,13.7,40.5,8.7,93.6,3.7,97.0,9081.1,8874.0,207.10000000000036,2.280560725022303,0,1.0541210887814805
MN-BAL-01,Balaghat Mine,underground,2021,6,160.2,35.0,40.2,85.2,15.6,96.5,9119.8,8037.9,1081.8999999999996,11.863198754358645,1,0.9771943927497769
MN-BAL-01,Balaghat Mine,underground,2021,7,461.8,30.5,91.4,71.9,37.1,94.9,9349.5,1402.4,7947.1,85.00026739397829,1,0.8813680124564135
MN-BAL-01,Balaghat Mine,underground,2021,8,209.4,29.4,43.7,81.6,25.5,91.4,9197.2,6333.8,2863.4000000000005,31.133388422563392,1,0.14999732606021712
MN-BAL-01,Balaghat Mine,underground,2021,9,224.6,31.5,42.1,79.3,14.0,92.5,8932.1,6866.7,2065.4000000000005,23.1233416553778,1,0.6886661157743661
MN-BAL-01,Balaghat Mine,underground,2021,10,54.6,31.1,23.9,85.0,17.3,92.0,9100.3,8118.1,982.1999999999989,10.79305077854575,1,0.768766583446222
MN-BAL-01,Balaghat Mine,underground,2021,11,14.9,21.7,10.7,86.5,15.8,94.2,9280.3,8399.9,880.3999999999996,9.486762281391764,0,0.8920694922145425
MN-BAL-01,Balaghat Mine,underground,2021,12,10.1,21.6,9.9,83.6,15.4,91.1,9325.4,8839.4,486.0,5.2115726939327,0,0.9051323771860824
MN-BAL-01,Balaghat Mine,underground,2022,1,12.0,24.8,12.0,93.1,14.9,97.8,9418.3,9208.3,210.0,2.229701750846756,0,0.947884273060673
MN-BAL-01,Balaghat Mine,underground,2022,2,15.0,26.7,9.5,86.3,25.1,95.1,9230.2,8064.1,1166.1000000000004,12.633529067625838,1,0.9777029824915324
MN-BAL-01,Balaghat Mine,underground,2022,3,14.8,31.7,12.5,82.4,23.9,97.4,9084.8,8492.3,592.5,6.52188270517788,0,0.8736647093237416
MN-BAL-01,Balaghat Mine,underground,2022,4,39.2,40.1,16.1,81.9,21.3,100.0,9055.9,7957.8,1098.0999999999995,12.125796442098515,1,0.9347811729482212
MN-BAL-01,Balaghat Mine,underground,2022,5,46.4,42.3,10.8,90.3,11.4,87.7,9206.1,8524.1,682.0,7.4081315649406365,0,0.8787420355790149
MN-BAL-01,Balaghat Mine,underground,2022,6,129.9,34.8,32.1,85.9,13.7,83.5,9301.7,8240.8,1060.9000000000015,11.40544201597559,1,0.9259186843505937
MN-BAL-01,Balaghat Mine,underground,2022,7,205.8,31.4,50.3,75.8,19.0,91.5,8977.2,6245.1,2732.1000000000004,30.433765539366398,1,0.8859455798402441
MN-BAL-01,Balaghat Mine,underground,2022,8,285.1,28.6,62.7,73.4,29.7,98.4,9464.2,4291.5,5172.700000000001,54.65543838887598,1,0.695662344606336
MN-BAL-01,Balaghat Mine,underground,2022,9,130.5,31.8,36.8,85.8,10.5,93.3,9423.8,7953.4,1470.3999999999996,15.603047602877819,1,0.45344561611124024
MN-BAL-01,Balaghat Mine,underground,2022,10,67.8,30.2,16.6,87.6,14.2,98.9,9218.7,8766.0,452.7000000000007,4.910670701942798,0,0.8439695239712218
MN-BAL-01,Balaghat Mine,underground,2022,11,20.6,18.4,12.3,87.4,0.0,95.4,8998.4,8675.8,322.60000000000036,3.5850817923186384,0,0.950893292980572
MN-BAL-01,Balaghat Mine,underground,2022,12,11.6,19.2,12.3,90.9,10.3,82.8,9138.3,8739.9,398.39999999999964,4.359673024523157,0,0.9641491820768137
MN-BAL-01,Balaghat Mine,underground,2023,1,17.4,20.3,9.2,83.3,27.0,93.4,9362.6,9038.4,324.2000000000007,3.4627133488560946,0,0.9564032697547684
MN-BAL-01,Balaghat Mine,underground,2023,2,10.0,23.4,11.3,90.0,2.6,94.3,9038.2,8374.2,664.0,7.346595561063043,0,0.965372866511439
MN-BAL-01,Balaghat Mine,underground,2023,3,9.8,31.9,20.1,86.3,17.0,89.0,8941.4,8121.2,820.1999999999998,9.17306014718053,0,0.9265340443893696
MN-BAL-01,Balaghat Mine,underground,2023,4,19.8,41.9,14.0,80.9,24.9,97.6,9329.4,7829.7,1499.6999999999998,16.074988745256928,1,0.9082693985281947
MN-BAL-01,Balaghat Mine,underground,2023,5,20.4,38.2,12.9,85.6,12.4,98.1,9169.5,9016.0,153.5,1.6740280277005288,0,0.8392501125474308
MN-BAL-01,Balaghat Mine,underground,2023,6,130.1,33.2,33.7,84.4,17.6,93.7,9179.9,8380.4,799.5,8.709245198749443,0,0.9832597197229948
MN-BAL-01,Balaghat Mine,underground,2023,7,375.0,30.0,77.9,76.0,21.8,87.2,9017.0,1352.5,7664.5,85.00055450815127,1,0.9129075480125056
MN-BAL-01,Balaghat Mine,underground,2023,8,317.3,25.7,73.2,73.6,37.7,90.9,9007.2,3329.4,5677.800000000001,63.03623767652545,1,0.1499944549184873
MN-BAL-01,Balaghat Mine,underground,2023,9,204.8,28.9,45.2,78.1,38.2,83.6,9174.8,6724.9,2449.8999999999996,26.70248942756245,1,0.3696376232347455
MN-BAL-01,Balaghat Mine,underground,2023,10,86.2,27.2,18.5,89.6,5.2,89.5,9345.1,8626.0,719.1000000000004,7.694941734170852,0,0.7329751057243755
MN-BAL-01,Balaghat Mine,underground,2023,11,24.9,24.0,11.0,83.7,25.7,90.6,9422.5,8551.4,871.1000000000004,9.2448925444415,0,0.9230505826582914
MN-BAL-01,Balaghat Mine,underground,2023,12,0.0,21.5,14.3,95.3,0.0,76.2,9257.1,8800.2,456.89999999999964,4.935670998476841,0,0.907551074555585
MN-BAL-01,Balaghat Mine,underground,2024,1,3.4,21.2,8.8,82.7,18.6,94.8,9150.1,8403.5,746.6000000000004,8.159473666954462,0,0.9506432900152316
MN-BAL-01,Balaghat Mine,underground,2024,2,18.0,21.6,13.0,88.2,10.8,87.9,9096.4,8542.3,554.1000000000004,6.091420781847768,0,0.9184052633304554
MN-BAL-01,Balaghat Mine,underground,2024,3,24.9,34.1,19.8,80.7,15.6,95.3,9453.6,8179.3,1274.3000000000002,13.47952102902598,1,0.9390857921815223
MN-BAL-01,Balaghat Mine,underground,2024,4,23.6,34.7,15.3,84.4,18.3,85.9,9128.5,9491.5,-363.0,-3.976556937065235,0,0.8652047897097402
MN-BAL-01,Balaghat Mine,underground,2024,5,30.7,44.3,21.6,80.1,24.0,85.5,9007.2,6606.4,2400.800000000001,26.65423216981971,1,1.0397655693706525
MN-BAL-01,Balaghat Mine,underground,2024,6,95.3,33.3,25.0,84.3,11.1,92.7,9161.0,8613.8,547.2000000000007,5.973147036349752,0,0.7334576783018029
MN-BAL-01,Balaghat Mine,underground,2024,7,304.6,29.7,59.1,79.5,15.3,99.8,9259.0,4227.0,5032.0,54.34712171940814,1,0.9402685296365025
MN-BAL-01,Balaghat Mine,underground,2024,8,323.8,28.0,65.1,71.2,42.2,92.5,9383.4,2976.0,6407.4,68.28441716222265,1,0.4565287828059186
MN-BAL-01,Balaghat Mine,underground,2024,9,207.3,28.3,43.7,82.6,24.9,93.6,9410.3,6580.3,2829.999999999999,30.073430177571375,1,0.3171558283777735
MN-BAL-01,Balaghat Mine,underground,2024,10,74.2,27.7,18.3,89.5,5.4,82.5,8965.3,7903.8,1061.499999999999,11.84009458690729,1,0.6992656982242862
MN-BAL-01,Balaghat Mine,underground,2024,11,15.1,21.8,9.8,96.2,3.6,93.8,9024.0,8832.4,191.60000000000036,2.123226950354614,0,0.8815990541309271
MN-BAL-01,Balaghat Mine,underground,2024,12,13.4,20.8,15.4,84.5,19.7,92.0,9161.6,8226.6,935.0,10.205640936081034,1,0.9787677304964538
MN-CHK-04,Chikla Mine,opencast,2021,1,19.3,20.7,11.6,92.2,3.4,91.1,4226.5,3755.3,471.1999999999998,11.148704601916476,1,0.8458031632082796
MN-CHK-04,Chikla Mine,opencast,2021,2,8.5,23.9,5.0,90.2,7.6,91.7,4344.8,4495.8,-151.0,-3.4754188915485176,0,0.8885129539808353
MN-CHK-04,Chikla Mine,opencast,2021,3,21.2,29.0,16.5,97.3,0.0,86.7,4224.1,4177.7,46.400000000000546,1.098458843303912,0,1.0347541889154852
MN-CHK-04,Chikla Mine,opencast,2021,4,25.2,40.0,18.1,93.0,7.9,94.0,4378.9,4423.2,-44.30000000000018,-1.011669597387476,0,0.9890154115669609
MN-CHK-04,Chikla Mine,opencast,2021,5,29.8,40.5,13.7,91.8,7.5,86.1,4184.2,4182.1,2.0999999999994543,0.050188805506415905,0,1.0101166959738748
MN-CHK-04,Chikla Mine,opencast,2021,6,163.3,35.7,42.8,85.4,17.2,90.9,4217.5,3832.0,385.5,9.14048606994665,0,0.9994981119449359
